Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,64.709999,64.989998,64.410004,64.680000,42.650631,9506200
2010-01-05,64.580002,64.620003,63.820000,63.930000,42.156071,10673100
2010-01-06,63.900002,64.540001,63.830002,64.449997,42.498978,13171500
2010-01-07,64.250000,64.349998,63.740002,63.990002,42.195641,10901600
2010-01-08,63.919998,64.260002,63.630001,64.209999,42.340687,7898000
2010-01-11,64.750000,64.750000,64.010002,64.220001,42.347294,7975700
2010-01-12,64.129997,64.720001,64.019997,64.559998,42.571491,10820700
2010-01-13,64.540001,65.230003,64.540001,64.970001,42.841866,13023800
2010-01-14,65.199997,65.269997,64.750000,65.099998,42.927578,7899000
2010-01-15,65.139999,65.199997,63.980000,64.559998,42.571491,20995000
2010-01-19,64.139999,65.750000,64.110001,65.349998,43.092434,15181800
2010-01-20,65.470001,65.949997,64.470001,65.150002,42.960560,13033000
2010-01-21,65.070000,65.470001,63.799999,63.970001,42.182449,14473900
2010-01-22,63.910000,64.190002,63.090000,63.200001,41.674698,14017200
2010-01-25,63.669998,63.700001,63.049999,63.220001,41.687893,10001700
2010-01-26,62.639999,63.009998,62.220001,62.790001,41.404343,15630300
2010-01-27,62.779999,63.720001,62.700001,63.439999,41.832962,14982400
2010-01-28,63.570000,64.070000,63.040001,63.799999,42.070343,17096000
2010-01-29,63.950001,64.269997,62.820000,62.860001,41.450508,17844400
2010-02-01,63.259998,63.259998,62.770000,63.090000,41.602169,10153400
2010-02-02,63.200001,64.199997,62.630001,63.990002,42.195641,13609300
2010-02-03,63.869999,63.869999,63.290001,63.630001,41.958248,9255900
2010-02-04,63.490002,63.619999,62.619999,62.639999,41.305435,18397000
2010-02-05,62.689999,63.599998,61.889999,62.639999,41.305435,16775200
2010-02-08,62.500000,62.980000,62.259998,62.369999,41.127384,10081200
2010-02-09,62.549999,63.470001,62.470001,62.759998,41.384548,11356400
2010-02-10,62.790001,63.070000,62.209999,62.730000,41.364765,10115800
2010-02-11,62.619999,63.209999,62.259998,62.910000,41.483475,8353600
2010-02-12,62.610001,63.000000,62.110001,62.720001,41.358185,12335800
2010-02-16,63.250000,63.709999,62.820000,63.610001,41.945065,10212400
2010-02-17,63.630001,64.360001,63.610001,63.980000,42.189049,9485500
2010-02-18,63.980000,64.699997,63.950001,64.529999,42.551712,8260600
2010-02-19,64.150002,64.459999,63.619999,63.810001,42.398891,14222300
2010-02-22,63.810001,64.099998,63.389999,63.490002,42.186268,9839700
2010-02-23,63.560001,63.849998,63.230000,63.310001,42.066669,12481400
2010-02-24,63.549999,63.849998,63.250000,63.450001,42.159691,8519300
2010-02-25,62.790001,63.349998,62.520000,63.279999,42.046730,10528900
2010-02-26,63.459999,63.590000,63.000000,63.000000,41.860676,9357800
2010-03-01,63.270000,63.459999,63.169998,63.389999,42.119816,9219400
2010-03-02,63.310001,63.639999,63.020000,63.439999,42.153049,9014000
2010-03-03,63.590000,63.750000,63.220001,63.400002,42.126465,9360400
2010-03-04,63.529999,63.700001,63.369999,63.570000,42.239414,8067200
2010-03-05,63.660000,64.070000,63.549999,64.040001,42.551712,10633600
2010-03-08,64.080002,64.410004,64.019997,64.199997,42.658031,33380500
2010-03-09,64.550003,64.550003,64.089996,64.269997,42.704536,8827100
2010-03-10,64.489998,64.559998,64.150002,64.290001,42.717834,8436600
2010-03-11,64.150002,64.220001,63.599998,64.220001,42.671318,9957800
2010-03-12,64.260002,64.260002,63.849998,64.180000,42.644741,8223000
2010-03-15,64.139999,64.570000,64.070000,64.570000,42.903866,7444700
2010-03-16,64.699997,64.720001,64.230003,64.529999,42.877304,8882000
2010-03-17,64.720001,64.739998,64.480003,64.650002,42.957027,8060700
2010-03-18,64.580002,65.150002,64.370003,65.059998,43.229465,11742100
2010-03-19,65.110001,65.489998,64.809998,65.110001,43.262672,23117600
2010-03-22,65.070000,65.440002,64.980003,65.099998,43.256039,8803800
2010-03-23,65.180000,65.389999,64.870003,65.360001,43.428799,9453900
2010-03-24,65.309998,65.309998,64.750000,64.750000,43.023460,9312500
2010-03-25,65.040001,65.250000,64.529999,64.570000,42.903866,10496600
2010-03-26,64.680000,64.720001,64.330002,64.379997,42.777626,9450400
2010-03-29,64.459999,64.930000,64.400002,64.820000,43.070007,7812900
2010-03-30,64.949997,64.980003,64.559998,64.900002,43.123169,8311600
2010-03-31,64.839996,65.309998,64.699997,65.199997,43.322491,11939100
2010-04-01,65.370003,65.769997,65.239998,65.769997,43.701225,10600600
2010-04-05,65.769997,65.889999,65.379997,65.400002,43.455379,8617600
2010-04-06,65.129997,65.449997,65.000000,65.309998,43.395565,8260100
2010-04-07,65.239998,65.489998,65.080002,65.220001,43.335781,9409400
2010-04-08,65.190002,65.190002,64.769997,64.930000,43.143082,8962600
2010-04-09,64.879997,65.169998,64.779999,65.139999,43.282612,6972700
2010-04-12,65.110001,65.209999,64.930000,65.110001,43.262672,8692200
2010-04-13,65.059998,65.849998,64.910004,65.680000,43.641418,12481600
2010-04-14,65.430000,65.599998,65.180000,65.489998,43.515198,10501900
2010-04-15,65.290001,65.540001,65.129997,65.510002,43.528481,8656900
2010-04-16,65.339996,65.650002,64.889999,65.019997,43.202892,15742500
2010-04-19,65.059998,66.099998,65.059998,66.029999,43.873974,14626300
2010-04-20,66.029999,66.199997,65.730003,65.989998,43.847408,11916400
2010-04-21,65.980003,65.980003,65.070000,65.389999,43.448730,13355700
2010-04-22,65.180000,65.239998,64.330002,64.779999,43.043415,19583000
2010-04-23,64.709999,65.040001,64.330002,65.040001,43.216171,11674900
2010-04-26,64.989998,65.199997,64.720001,64.760002,43.030117,9281500
2010-04-27,64.570000,64.879997,64.209999,64.279999,42.711189,11862200
2010-04-28,64.430000,64.860001,64.250000,64.620003,42.937099,12476600
2010-04-29,64.849998,65.339996,64.849998,65.010002,43.196243,7930100
2010-04-30,65.129997,65.339996,64.300003,64.300003,42.724480,14255900
2010-05-03,65.160004,65.620003,64.540001,65.330002,43.408844,15310500
2010-05-04,65.070000,65.279999,64.410004,64.699997,42.990253,14895700
2010-05-05,64.580002,65.290001,64.440002,65.139999,43.282612,13143700
2010-05-06,65.040001,65.099998,60.029999,63.400002,42.126465,24410000
2010-05-07,63.259998,63.599998,62.090000,63.310001,42.066669,20467100
2010-05-10,64.910004,65.360001,64.000000,64.750000,43.023460,18445400
2010-05-11,64.230003,65.089996,64.180000,64.669998,42.970314,10879000
2010-05-12,64.849998,65.050003,64.489998,64.900002,43.123169,11036800
2010-05-13,64.839996,65.160004,64.510002,64.669998,42.970314,12337000
2010-05-14,64.709999,64.790001,63.410000,63.970001,42.505196,12505100
2010-05-17,64.059998,64.239998,63.200001,63.880001,42.445415,10260800
2010-05-18,63.439999,63.560001,62.849998,62.970001,41.840748,18480900
2010-05-19,62.689999,62.959999,62.049999,62.220001,41.342411,18863200
2010-05-20,61.820000,61.840000,60.549999,60.549999,40.232754,24098700
2010-05-21,59.779999,60.959999,59.509998,60.880001,40.452042,21813000
2010-05-24,60.619999,61.450001,60.209999,60.570000,40.246056,13993300
2010-05-25,59.709999,60.410000,59.150002,60.349998,40.099873,21179000
2010-05-26,60.830002,60.830002,59.650002,59.660000,39.641407,18914100
2010-05-27,59.740002,59.889999,58.709999,59.029999,39.581055,29926600
2010-05-28,58.720001,59.119999,58.189999,58.299999,39.091576,26815900
2010-06-01,58.209999,59.410000,57.549999,58.759998,39.400013,19508400
2010-06-02,59.070000,59.730000,58.689999,59.730000,40.050423,15581800
2010-06-03,59.889999,60.150002,59.549999,59.770000,40.077251,14254200
2010-06-04,58.959999,59.029999,57.759998,58.009998,38.897118,21785400
2010-06-07,58.169998,58.549999,58.000000,58.000000,38.890411,13843300
2010-06-08,58.150002,58.709999,57.869999,58.639999,39.319550,14941500
2010-06-09,58.799999,58.939999,57.939999,58.169998,39.004398,13173000
2010-06-10,58.720001,59.130001,58.349998,58.500000,39.225681,16995200
2010-06-11,58.169998,58.480000,57.939999,58.459999,39.198853,14713000
2010-06-14,58.700001,59.099998,58.380001,58.419998,39.172028,10524000
2010-06-15,58.930000,59.160000,58.549999,59.139999,39.654823,11103200
2010-06-16,59.250000,59.580002,58.779999,59.240002,39.721863,8636300
2010-06-17,59.279999,59.439999,58.650002,59.180000,39.681641,11723100
2010-06-18,59.180000,59.290001,58.849998,59.180000,39.681641,16838200
2010-06-21,59.500000,59.799999,58.919998,59.130001,39.648106,12143600
2010-06-22,59.250000,60.090000,59.119999,59.160000,39.668221,13823800
2010-06-23,59.160000,59.419998,58.709999,59.240002,39.721863,12659500
2010-06-24,59.029999,59.939999,59.029999,59.599998,39.963257,18216100
2010-06-25,59.860001,59.869999,58.630001,58.700001,39.359776,45006900
2010-06-28,59.009998,59.790001,58.810001,59.450001,39.862675,15834300
